id;name;phone_number;date_buy;is_called;is_delived;date_delived
1;Assistant;Market;2023-04-18;true;false;2023-04-19
2;Investment Security;SQL;2023-04-18;false;false;2023-04-18
3;Music Principal Sahara;Kong deposit;2023-04-18;true;false;2023-04-18
4;dedicated;synthesize Directives;2023-04-19;true;false;2023-04-18
5;JBOD;Progressive;2023-04-19;false;false;2023-04-18
6;Ergonomic Generic bluetooth;copying;2023-04-19;true;true;2023-04-18
7;Handmade violet;primary;2023-04-18;true;false;2023-04-18
8;Account;multi-tasking Investment Electronics;2023-04-19;true;false;2023-04-18
9;invoice Tuna Pine;Rhode Handcrafted;2023-04-18;false;false;2023-04-19
10;Re-engineered;hacking;2023-04-19;true;false;2023-04-18
